,variable,median,percentile25,percentile75,cat,groupBy_1,groupByValue_1,groupBy_2,groupByValue_2,n,percent
1,ADL_score_5,NA,NA,NA,0,DHH_SEX,1,NA,NA,1,0.001560062
2,ADL_score_5,NA,NA,NA,0,DHH_SEX,2,NA,NA,2,0.003120125
3,ADL_score_5,NA,NA,NA,0,DHH_SEX,NA::a,NA,NA,0,0
4,ADL_score_5,NA,NA,NA,0,DHH_SEX,NA::b,NA,NA,0,0
5,ADL_score_5,NA,NA,NA,1,DHH_SEX,1,NA,NA,3,0.004680187
6,ADL_score_5,NA,NA,NA,1,DHH_SEX,2,NA,NA,4,0.00624025
7,ADL_score_5,NA,NA,NA,1,DHH_SEX,NA::a,NA,NA,0,0
8,ADL_score_5,NA,NA,NA,1,DHH_SEX,NA::b,NA,NA,0,0
9,ADL_score_5,NA,NA,NA,2,DHH_SEX,1,NA,NA,3,0.004680187
10,ADL_score_5,NA,NA,NA,2,DHH_SEX,2,NA,NA,4,0.00624025
11,ADL_score_5,NA,NA,NA,2,DHH_SEX,NA::a,NA,NA,0,0
12,ADL_score_5,NA,NA,NA,2,DHH_SEX,NA::b,NA,NA,0,0
13,ADL_score_5,NA,NA,NA,3,DHH_SEX,1,NA,NA,4,0.00624025
14,ADL_score_5,NA,NA,NA,3,DHH_SEX,2,NA,NA,10,0.015600624
15,ADL_score_5,NA,NA,NA,3,DHH_SEX,NA::a,NA,NA,0,0
16,ADL_score_5,NA,NA,NA,3,DHH_SEX,NA::b,NA,NA,0,0
17,ADL_score_5,NA,NA,NA,4,DHH_SEX,1,NA,NA,5,0.007800312
18,ADL_score_5,NA,NA,NA,4,DHH_SEX,2,NA,NA,21,0.03276131
19,ADL_score_5,NA,NA,NA,4,DHH_SEX,NA::a,NA,NA,0,0
20,ADL_score_5,NA,NA,NA,4,DHH_SEX,NA::b,NA,NA,0,0
21,ADL_score_5,NA,NA,NA,5,DHH_SEX,1,NA,NA,255,0.397815913
22,ADL_score_5,NA,NA,NA,5,DHH_SEX,2,NA,NA,328,0.511700468
23,ADL_score_5,NA,NA,NA,5,DHH_SEX,NA::a,NA,NA,0,0
24,ADL_score_5,NA,NA,NA,5,DHH_SEX,NA::b,NA,NA,0,0
25,ADL_score_5,NA,NA,NA,NA::a,DHH_SEX,1,NA,NA,0,0
26,ADL_score_5,NA,NA,NA,NA::a,DHH_SEX,2,NA,NA,0,0
27,ADL_score_5,NA,NA,NA,NA::a,DHH_SEX,NA::a,NA,NA,0,0
28,ADL_score_5,NA,NA,NA,NA::a,DHH_SEX,NA::b,NA,NA,0,0
29,ADL_score_5,NA,NA,NA,NA::b,DHH_SEX,1,NA,NA,0,0
30,ADL_score_5,NA,NA,NA,NA::b,DHH_SEX,2,NA,NA,0,0
31,ADL_score_5,NA,NA,NA,NA::b,DHH_SEX,NA::a,NA,NA,0,0
32,ADL_score_5,NA,NA,NA,NA::b,DHH_SEX,NA::b,NA,NA,0,0