part,partType,lable,description,restrictions,status,firstReleased,lastUpdated,class,notes
metadata,text,,metadata namespace,,active,v1,2021-11-17,,
modelName,text,,algorthm short name,mandatory,active,v1,2021-11-17,,
modelDescription,text,,description of the model,,active,v1,2021-11-17,,
stratified,text,,model stratification ,mandatory,active,v1,2021-11-17,,
modelType,text,,model type,mandatory,active,v1,2021-11-17,,
maxTime,text,,maximium follow-up period,mandatory,active,v1,2021-11-17,,
timeMetric,text,,metric for maxTime,mandatory,active,v1,2021-11-17,,
author,text,,Prinicpal investigator for model,,active,v1,2021-11-17,,
ocrid,text,,orcid for author,,active,v1,2021-11-17,,
copyright,text,,copyright holder,,active,v1,2021-11-17,,
licence,text,,licence,,active,v1,2021-11-17,,
outcome,text,,primary outcome,mandatory,active,v1,2021-11-17,,
dateCreated,text,,date created,mandatory,active,v1,2021-11-17,,
startData,text,,data used to develop the algorithm,mandatory,active,v1,2021-11-17,,
variable,text,,"name of the variable or feature that is used in the algorithm; allowable variable name in SAS, R, JS, TS, Python, Stata",mandatory,active,v1,2021-11-17,,
label,text,,"short variable label, less than 15 characters",mandatory,active,v1,2021-11-17,,
labelLong,text,,descriptive variable label,mandatory,active,v1,2021-11-17,,
section,text,,major heading used to classify the variable,mandatory,active,v1,2021-11-17,,
subject,text,,section sub-heading used to further classify the variable ,mandatory,active,v1,2021-11-17,,
typeEnd,text,,"allowable variable types: cat (categorical), cont (continuous)",mandatory,active,v1,2021-11-17,,
units,text,,unit of measurement for the variable,mandatory,active,v1,2021-11-17,,
reference,boolean,,"reference group (level): TRUE, FALSE, NA",,active,v1,2021-11-17,,
center,boolean,,"indicates variable transformation of center to mean: TRUE, FALSE (missing treated as false),",,active,v1,2021-11-17,,
spline,boolean,,"indicates spline transformation: TRUE, FALSE, NA",,active,v1,2021-11-17,,
min,number,,"minimum value for algorithm development. If different values for males and females, then algorithm name should be different",,active,v1,2021-11-17,,
max,number,,maximum value for algorithm development,,active,v1,2021-11-17,,
mean,number,,,,active,v1,2021-11-17,,
stdDev,number,,,,active,v1,2021-11-17,,
median,number,,,,active,v1,2021-11-17,,
q1,number,,,,active,v1,2021-11-17,,
q3,number,,,,active,v1,2021-11-17,,
interaction, ,,"indicates variable transformation to interaction variable; value, indicated by interactionIndex column, interation1, interaction2, etc. (label is variables separated by _X_ e.g.,variable1_X_variable2)",,active,v1,2021-11-17,,
interactionIndex, ,,"indicates index value (e.g., 1,2,3...) of interaction variable (i.e., interation1, interaction2, interaction3...)",,active,v1,2021-11-17,,
dummy,boolean,,"indicates dummy variable employed: TRUE, FALSE, NA",,active,v1,2021-11-17,,
impute,text,,"indicates variable data cleaning from missing imputed values. value is imputed method (e.g., Hmisc-impute)",,active,v1,2021-11-17,,
invalid, ,,indicates method for treating invalid input values,,active,v1,2021-11-17,,
log,boolean,,"indicates log transformation: TRUE, FALSE, NA",,active,v1,2021-11-17,,
outlierMax,,,"method used with `max`: delete, NA (missing), N/A (not applicable), number (real number).",,active,v1,2021-11-17,,
outlierMin,,,"method used with `min`: delete, NA (missing), N/A (not applicable), number (real number).",,active,v1,2021-11-17,,
recommended,boleen,,"variable that is recommended user input (versus a variable that is derived from input variables): TRUE, FALSE",,active,v1,2021-11-17,,
required,boolean,,"mandatory variable required for scoring the algorithm (i.e, can not be missing and replaced with centered value): TRUE, FALSE",,active,v1,2021-11-17,,
notes,text,,optional additional information about the variable,,active,v1,2021-11-17,,
dummyVariable,text,,"The name of the dummy variable created for this variable for the catValue specified. E.g., for sex in the file above, sex_cat1 will have a value of 1 if sex is ""m"" or 0 otherwise. Similarly, sex_cat2 will have a value of 1 of sex is ""f"" or 0 otherwise. This column is only used for categorical variables",,active,v1,2021-11-17,,
numValidCat,text,,The number of valid categories for categorical variables,mandatory,active,v1,2021-11-17,,
catLabel,integer,,A label for the level of the categorical variable in that row,mandatory,active,v1,2021-11-17,,
catLabelLong,integer,,A more detailed label for each level of the categorical variable,mandatory,active,v1,2021-11-17,,
catValue,text,,The value for the level of the categorical variable,mandatory,active,v1,2021-11-17,,
variableType,text,,Same as the type column in the variables file,mandatory,active,v1,2021-11-17,,
interval,value range separated with commas,,The valid range for this variable. Follows the mathematical notation for intervalsĘhttps://en.wikipedia.org/wiki/Interval_(mathematics),mandatory,active,v1,2021-11-17,,
rcsVariables,text,,"names of the new variables created, seperated by a semicolon", ,active,v1,2021-11-17,,
knots,number,,"values for knot locations, separated by semi-colons", ,active,v1,2021-11-17,,
centerVariable,text,,name of the new centered variable, ,active,v1,2021-11-17,,
centerValue,number,,value to use for centering, ,active,v1,2021-11-17,,
baselineTime,text,,"sequential label for baseline time (e.g., h1, h2, etc.)",,active,v1,2021-11-17,,
baselineHazard,number,,value for the baselline hazard at time t,,active,v1,2021-11-17,,
coefficient,number,,model coefficent for variable x,mandatory,active,v1,2021-11-17,,
step,text,,"name of the step. Valid values: center, rcs, interactions, cox, dummy (note: no file is needed for this step. All dummy variables created need to be documented in theĘvariables detailsĘfile)",,active,v1,2021-11-17,,
fileName,text,,"name of the file which documents additional information needed to implement the step (e.g., center.csv for centering)",,active,v1,2021-11-17,,
interactingVariables,text,,"list of variables that interact, seperated by a semicolon",,active,v1,2021-11-17,,
interactionVariable,text,,name of the interaction variable,,active,v1,2021-11-17,,
outlierTreatment,,,rule to apply for values that are outside min/max setting,,active,v1,2021-11-17,,
missingTreatment,,,rule to apply for values that are missing,,active,v1,2021-11-17,,